Packet No.,Hexstream,Split Indexes,Splited Hexstream,True Splited Indexes,True Splited Hexstream,Correctness (Cover or In Field Num. / Inferred Field Num.),Perfection (Accurate Field Num. / Correct Field Num.),Precision,Recall,Accuracy,F1,FPR
1,00200101000000006b8b4567000013870000000001090191018f0109838203db,"[0, 1, 2, 15, 16, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",00 20 0101000000006b8b4567000013 87 00000000010901 91 01 8f 01 09 83 82 03 db,"[0, 2, 3, 4, 5, 6, 8, 12, 16, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 32]",0020 01 01 00 00 0000 6b8b4567 00001387 00000000 01 09 01 91 01 8f 01 09 8382 03db,0.9411764705882353,0.47368421052631576,0.75,0.6666666666666666,0.6774193548387096,0.7058823529411765,0.3076923076923077
2,001c0101000000006b8b456700001388000000000009018f01910129,"[0, 1, 2, 15, 16, 20, 21, 22, 23, 24, 25, 26, 27, 28]",00 1c 0101000000006b8b4567000013 88 0000000000 09 01 8f 01 91 01 29,"[0, 2, 3, 4, 5, 6, 8, 12, 16, 20, 21, 22, 23, 24, 25, 26, 27, 28]",001c 01 01 00 00 0000 6b8b4567 00001388 00000000 00 09 01 8f 01 91 01 29,0.9230769230769231,0.5294117647058824,0.8333333333333334,0.625,0.7037037037037037,0.7142857142857143,0.18181818181818182
3,00200101000000006b8b45670000138900000000010901aa01a9010b810d00bf,"[0, 1, 2, 15, 16, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",00 20 0101000000006b8b4567000013 89 00000000010901 aa 01 a9 01 0b 81 0d 00 bf,"[0, 2, 3, 4, 5, 6, 8, 12, 16, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 32]",0020 01 01 00 00 0000 6b8b4567 00001389 00000000 01 09 01 aa 01 a9 01 0b 810d 00bf,0.9411764705882353,0.47368421052631576,0.75,0.6666666666666666,0.6774193548387096,0.7058823529411765,0.3076923076923077
4,001c0101000000006b8b45670000138a00000000000901a901aa012b,"[0, 1, 2, 15, 16, 20, 21, 22, 23, 24, 25, 26, 27, 28]",00 1c 0101000000006b8b4567000013 8a 0000000000 09 01 a9 01 aa 01 2b,"[0, 2, 3, 4, 5, 6, 8, 12, 16, 20, 21, 22, 23, 24, 25, 26, 27, 28]",001c 01 01 00 00 0000 6b8b4567 0000138a 00000000 00 09 01 a9 01 aa 01 2b,0.9230769230769231,0.5294117647058824,0.8333333333333334,0.625,0.7037037037037037,0.7142857142857143,0.18181818181818182
5,00200101000000006b8b45670000138b00000000010901a401a3010b806b0174,"[0, 1, 2, 15, 16, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",00 20 0101000000006b8b4567000013 8b 00000000010901 a4 01 a3 01 0b 80 6b 01 74,"[0, 2, 3, 4, 5, 6, 8, 12, 16, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 32]",0020 01 01 00 00 0000 6b8b4567 0000138b 00000000 01 09 01 a4 01 a3 01 0b 806b 0174,0.9411764705882353,0.47368421052631576,0.75,0.6666666666666666,0.6774193548387096,0.7058823529411765,0.3076923076923077
6,001c0101000000006b8b45670000138c00000000000901a301a4012b,"[0, 1, 2, 15, 16, 20, 21, 22, 23, 24, 25, 26, 27, 28]",00 1c 0101000000006b8b4567000013 8c 0000000000 09 01 a3 01 a4 01 2b,"[0, 2, 3, 4, 5, 6, 8, 12, 16, 20, 21, 22, 23, 24, 25, 26, 27, 28]",001c 01 01 00 00 0000 6b8b4567 0000138c 00000000 00 09 01 a3 01 a4 01 2b,0.9230769230769231,0.5294117647058824,0.8333333333333334,0.625,0.7037037037037037,0.7142857142857143,0.18181818181818182
7,00200101000000006b8b45670000138d000000000109018e018c0101838902cd,"[0, 1, 2, 15, 16, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",00 20 0101000000006b8b4567000013 8d 00000000010901 8e 01 8c 01 01 83 89 02 cd,"[0, 2, 3, 4, 5, 6, 8, 12, 16, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 32]",0020 01 01 00 00 0000 6b8b4567 0000138d 00000000 01 09 01 8e 01 8c 01 01 8389 02cd,0.9411764705882353,0.47368421052631576,0.75,0.6666666666666666,0.6774193548387096,0.7058823529411765,0.3076923076923077
8,001c0101000000006b8b45670000138e000000000009018c018e0121,"[0, 1, 2, 15, 16, 20, 21, 22, 23, 24, 25, 26, 27, 28]",00 1c 0101000000006b8b4567000013 8e 0000000000 09 01 8c 01 8e 01 21,"[0, 2, 3, 4, 5, 6, 8, 12, 16, 20, 21, 22, 23, 24, 25, 26, 27, 28]",001c 01 01 00 00 0000 6b8b4567 0000138e 00000000 00 09 01 8c 01 8e 01 21,0.9230769230769231,0.5294117647058824,0.8333333333333334,0.625,0.7037037037037037,0.7142857142857143,0.18181818181818182
9,00200101000000006b8b45670000138f000000000109019b0199010283790565,"[0, 1, 2, 15, 16, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",00 20 0101000000006b8b4567000013 8f 00000000010901 9b 01 99 01 02 83 79 05 65,"[0, 2, 3, 4, 5, 6, 8, 12, 16, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 32]",0020 01 01 00 00 0000 6b8b4567 0000138f 00000000 01 09 01 9b 01 99 01 02 8379 0565,0.9411764705882353,0.47368421052631576,0.75,0.6666666666666666,0.6774193548387096,0.7058823529411765,0.3076923076923077
10,001c0101000000006b8b4567000013900000000000090199019b0122,"[0, 1, 2, 15, 16, 20, 21, 22, 23, 24, 25, 26, 27, 28]",00 1c 0101000000006b8b4567000013 90 0000000000 09 01 99 01 9b 01 22,"[0, 2, 3, 4, 5, 6, 8, 12, 16, 20, 21, 22, 23, 24, 25, 26, 27, 28]",001c 01 01 00 00 0000 6b8b4567 00001390 00000000 00 09 01 99 01 9b 01 22,0.9230769230769231,0.5294117647058824,0.8333333333333334,0.625,0.7037037037037037,0.7142857142857143,0.18181818181818182
